horizon,lead,lagging,lag,rho,edge_bp,cost_bp_at_1.5x,pays,qualifies
1d,EURUSD,EURJPY,11,0.043777,2.48325,1.46256,True,False
1d,NZDUSD,GBPUSD,11,-0.043367,2.53257,1.64909,True,False
1d,EURGBP,GBPJPY,1,-0.043185,2.9976,2.32688,True,False
1d,USDJPY,EURJPY,11,-0.042779,2.42665,1.46256,True,False
1d,EURGBP,EURJPY,2,-0.042723,2.42344,1.46256,True,False
1d,EURUSD,USDJPY,6,0.042305,2.37504,1.13462,True,False
1d,NZDUSD,USDJPY,12,-0.041918,2.35333,1.13462,True,False
1d,AUDUSD,USDJPY,11,0.041781,2.34562,1.13462,True,False
1d,NZDUSD,USDJPY,11,0.041758,2.34434,1.13462,True,False
1d,AUDJPY,GBPUSD,11,-0.041421,2.41891,1.64909,True,False
1d,EURCHF,EURUSD,7,-0.041024,2.00569,0.99802,True,False
1d,AUDJPY,GBPJPY,6,0.040852,2.83562,2.32688,True,False
1d,USDCHF,USDJPY,4,0.040846,2.29311,1.13462,True,False
1d,USDCAD,GBPUSD,8,-0.040612,2.37168,1.64909,True,False
1d,GBPJPY,GBPUSD,11,-0.040521,2.36636,1.64909,True,False
1d,EURCHF,EURJPY,10,-0.040342,2.2884,1.46256,True,False
1d,EURCHF,EURUSD,9,0.040232,1.96695,0.99802,True,False
1d,AUDJPY,EURUSD,3,0.040108,1.96088,0.99802,True,False
1d,NZDUSD,AUDJPY,1,-0.040097,2.89002,2.06765,True,False
1d,NZDUSD,EURJPY,11,0.039821,2.25881,1.46256,True,False
1d,EURGBP,GBPJPY,2,-0.039655,2.75252,2.32688,True,False
1d,EURUSD,AUDJPY,1,-0.039581,2.85277,2.06765,True,False
1d,EURGBP,GBPJPY,4,0.039499,2.74169,2.32688,True,False
1d,EURCHF,EURUSD,11,0.039416,1.92708,0.99802,True,False
1d,USDJPY,GBPJPY,4,0.039353,2.73162,2.32688,True,False
1d,EURUSD,AUDJPY,7,-0.03901,2.81164,2.06765,True,False
1d,EURJPY,GBPUSD,10,0.038986,2.27673,1.64909,True,False
1d,EURCHF,GBPUSD,5,0.038836,2.26797,1.64909,True,False
1d,EURGBP,EURJPY,10,-0.038754,2.19831,1.46256,True,False
1d,EURCHF,EURJPY,6,0.038681,2.19419,1.46256,True,False
1d,USDJPY,AUDJPY,6,0.038633,2.7845,2.06765,True,False
1d,EURGBP,USDJPY,9,-0.038552,2.16435,1.13462,True,False
1d,USDCAD,GBPUSD,11,0.038521,2.24954,1.64909,True,False
1d,AUDUSD,EURUSD,9,-0.038414,1.87806,0.99802,True,False
1d,GBPUSD,AUDJPY,12,-0.038295,2.76013,2.06765,True,False
1d,USDJPY,EURJPY,12,0.038161,2.16467,1.46256,True,False
1d,USDCAD,GBPJPY,2,-0.038123,2.64623,2.32688,True,False
1d,USDCAD,USDJPY,1,0.038114,2.13975,1.13462,True,False
1d,GBPUSD,USDJPY,4,-0.038076,2.13765,1.13462,True,False
1d,USDCHF,EURJPY,6,0.037987,2.15479,1.46256,True,False
1d,AUDJPY,EURUSD,1,0.037919,1.85389,0.99802,True,False
1d,NZDUSD,GBPUSD,7,-0.037818,2.20852,1.64909,True,False
1d,GBPUSD,AUDJPY,2,0.037723,2.71892,2.06765,True,False
1d,AUDJPY,USDJPY,3,-0.037542,2.10766,1.13462,True,False
1d,EURUSD,USDJPY,11,0.037497,2.10513,1.13462,True,False
1d,EURCHF,USDJPY,5,-0.037486,2.10451,1.13462,True,False
1d,EURJPY,GBPJPY,4,0.037376,2.59436,2.32688,True,False
1d,NZDUSD,USDJPY,4,-0.037277,2.09275,1.13462,True,False
1d,USDCHF,GBPUSD,5,0.037198,2.17228,1.64909,True,False
1d,EURJPY,AUDJPY,7,-0.037192,2.68058,2.06765,True,False
1d,USDCAD,USDJPY,12,0.03718,2.08733,1.13462,True,False
1d,EURJPY,GBPJPY,3,-0.036944,2.56438,2.32688,True,False
1d,USDCAD,GBPJPY,4,0.036781,2.55306,2.32688,True,False
1d,NZDUSD,USDJPY,6,0.036745,2.0629,1.13462,True,False
1d,GBPJPY,GBPUSD,1,0.036487,2.13078,1.64909,True,False
1d,EURJPY,USDJPY,1,-0.036325,2.03932,1.13462,True,False
1d,EURGBP,USDJPY,1,-0.036109,2.02719,1.13462,True,False
1d,GBPUSD,AUDJPY,7,-0.03605,2.5983,2.06765,True,False
1d,EURJPY,AUDJPY,3,-0.036047,2.59808,2.06765,True,False
1d,AUDUSD,EURUSD,1,0.035935,1.75688,0.99802,True,False
1d,EURCHF,GBPJPY,7,-0.035888,2.49108,2.32688,True,False
1d,NZDUSD,EURJPY,4,-0.035126,1.99249,1.46256,True,False
1d,GBPUSD,AUDJPY,9,0.035075,2.528,2.06765,True,False
1d,AUDUSD,GBPJPY,2,0.034981,2.42814,2.32688,True,False
1d,EURUSD,AUDJPY,12,-0.034825,2.51002,2.06765,True,False
1d,USDCAD,EURJPY,12,0.034539,1.95921,1.46256,True,False
1d,AUDUSD,AUDJPY,1,-0.034504,2.48687,2.06765,True,False
1d,NZDUSD,GBPJPY,4,-0.03448,2.39334,2.32688,True,False
1d,AUDUSD,EURJPY,4,-0.03442,1.95246,1.46256,True,False
1d,EURGBP,EURJPY,11,0.034398,1.95123,1.46256,True,False
1d,EURUSD,GBPJPY,12,-0.03433,2.38293,2.32688,True,False
1d,USDCAD,GBPJPY,12,0.034294,2.38043,2.32688,True,False
1d,EURGBP,EURUSD,10,-0.034251,1.67456,0.99802,True,False
1d,USDJPY,GBPJPY,11,-0.03417,2.3718,2.32688,True,False
1d,USDJPY,GBPJPY,6,0.034097,2.36678,2.32688,True,False
1d,GBPUSD,GBPJPY,4,-0.033962,2.35736,2.32688,True,False
1d,NZDUSD,GBPUSD,12,-0.033758,1.97138,1.64909,True,False
1d,EURGBP,AUDJPY,1,-0.033378,2.4057,2.06765,True,False
1d,GBPJPY,AUDJPY,7,-0.033332,2.40242,2.06765,True,False
1d,EURJPY,AUDJPY,6,0.033257,2.39697,2.06765,True,False
1d,EURCHF,EURJPY,12,-0.033244,1.88575,1.46256,True,False
1d,AUDJPY,USDJPY,6,0.03319,1.86334,1.13462,True,False
1d,GBPJPY,AUDJPY,2,0.032871,2.36918,2.06765,True,False
1d,GBPUSD,AUDJPY,5,-0.03283,2.36622,2.06765,True,False
1d,EURCHF,GBPUSD,9,0.032779,1.91425,1.64909,True,False
1d,USDCHF,EURUSD,9,0.032619,1.59475,0.99802,True,False
1d,EURJPY,EURUSD,6,-0.032612,1.59442,0.99802,True,False
1d,AUDUSD,GBPUSD,7,-0.032577,1.90243,1.64909,True,False
1d,NZDUSD,EURUSD,6,-0.032548,1.59131,0.99802,True,False
1d,AUDJPY,USDJPY,2,0.032457,1.82216,1.13462,True,False
1d,AUDUSD,USDJPY,2,0.032252,1.81068,1.13462,True,False
1d,EURCHF,GBPUSD,7,-0.032198,1.88032,1.64909,True,False
1d,USDCHF,EURJPY,9,0.031948,1.81226,1.46256,True,False
1d,USDCHF,AUDJPY,6,0.031681,2.28341,2.06765,True,False
1d,EURCHF,AUDJPY,6,0.031547,2.27372,2.06765,True,False
1d,GBPUSD,EURJPY,4,-0.031487,1.78608,1.46256,True,False
1d,EURJPY,GBPUSD,1,0.031477,1.83821,1.64909,True,False
1d,GBPUSD,EURUSD,7,-0.03106,1.51852,0.99802,True,False
1d,EURUSD,USDJPY,1,-0.030847,1.73176,1.13462,True,False
1d,GBPJPY,EURJPY,6,0.03055,1.73296,1.46256,True,False
1d,AUDUSD,GBPUSD,11,-0.030081,1.75665,1.64909,True,False
1d,GBPJPY,EURJPY,2,0.029985,1.70091,1.46256,True,False
1d,USDCHF,AUDJPY,5,0.029807,2.14837,2.06765,True,False
1d,EURGBP,GBPUSD,4,0.029471,1.72106,1.64909,True,False
1d,EURCHF,AUDJPY,4,0.029343,2.11488,2.06765,True,False
